序号,中文名称,英文名称,学名
434,斑翅山鹑,Daurian Partridge,Perdix dauurica
435,高原山鹑,Tibetan Partridge,Perdix hodgsoniae
436,长嘴山鹑,Long-billed Partridge,Rhizothera longirostris
437,霍氏长嘴山鹑,Hose's Partridge,Rhizothera dulitensis
438,马岛鹑,Madagascan Partridge,Margaroperdix madagarensis
439,黑鹑,Black Partridge,Melanoperdix niger
440,西鹌鹑,Common Quail,Coturnix coturnix
441,鹌鹑,Japanese Quail,Coturnix japonica
442,黑胸鹌鹑,Rain Quail,Coturnix coromandelica
443,花脸鹌鹑,Harlequin Quail,Coturnix delegorguei
444,澳洲鹌鹑,Stubble Quail,Coturnix pectoralis
445,新西兰鹌鹑,New Zealand Quail,Coturnix novaezelandiae
446,褐鹌鹑,Brown Quail,Coturnix ypsilophora
447,蓝胸鹑,King Quail,Excalfactoria chinensis
448,非洲蓝鹑,Blue Quail,Excalfactoria adansonii
449,雪山鹑,Snow Mountain Quail,Anurophasis monorthonyx
450,丛林鹑,Jungle Bush Quail,Perdicula asiatica
